0	773	127
1	2411	127
2	1420	127
3	1258	135
4	707	514
5	159	754
6	2470	754
7	1323	94
8	2531	127
9	184	754
10	2732	378
11	1323	94
12	834	514
13	1071	135
14	1074	135
15	1594	514
16	2709	18
17	1547	135
18	786	514
19	323	433
20	755	341
21	400	514
22	0	79
23	572	731
24	340	57
25	2137	87
26	618	57
27	2531	135
28	2727	18
29	175	57
30	407	514
31	834	679
32	1872	731
33	656	125
34	407	514
35	175	7
36	276	731
37	490	433
38	340	7
39	1101	514
40	701	18
41	0	127
42	701	18
43	0	118
44	1939	742
45	1939	742
46	0	127
47	994	514
48	511	433
49	0	125
50	0	57
51	2531	219
52	24	514
53	986	679
54	778	514
55	1684	292
56	260	292
57	258	292
58	258	292
59	1574	292
60	0	87
61	327	586
62	739	94
63	299	733
64	1943	742
65	1943	742
66	1324	524
67	299	733
68	1532	219
69	1933	742
70	1933	742
71	504	433
72	1316	727
73	2463	543
74	1360	636
75	1343	433
76	1495	636
77	1772	636
78	1883	725
79	2101	636
80	1941	636
81	1574	636
82	1528	605
83	1528	605
84	1948	636
85	1933	742
86	1933	742
87	2122	636
88	2133	335
89	1939	742
90	343	324
91	1943	742
92	1943	742
93	1933	742
94	2403	135
95	1934	742
96	2601	545
97	2135	127
98	2283	431
99	2602	545
100	1939	742
101	1892	128
102	1943	742
103	1943	742
104	1939	742
105	2602	545
106	811	219
107	1933	742
108	2020	545
109	2429	545
110	1934	742
111	2599	545
112	1933	742
113	1934	742
114	2601	545
115	1939	742
116	2602	545
117	1939	742
118	1943	742
119	1946	742
120	1946	742
121	1930	742
122	1939	742
123	1532	219
124	1532	219
125	588	324
126	1966	219
127	1939	742
128	2429	545
129	1443	219
130	1943	742
131	1939	742
132	1939	742
133	589	324
134	1213	691
135	299	93
136	1039	545
137	1939	742
138	1039	545
139	1041	531
140	1376	219
141	2602	545
142	1553	219
143	117	87
144	2602	545
145	678	219
146	1632	749
147	1413	219
148	2429	545
149	835	219
150	1239	219
151	1316	727
152	1933	742
153	1510	550
154	1939	742
155	2687	52
156	1376	219
157	1544	219
158	1705	760
159	1705	760
160	2122	736
161	4	443
162	1239	219
163	1907	736
164	22	443
165	2686	52
166	40	443
167	2274	411
168	1883	127
169	1681	154
170	1239	762
171	886	761
172	2100	736
173	999	761
174	24	759
175	1678	154
176	1709	736
177	1875	330
178	1678	154
179	2015	726
180	2605	726
181	2621	726
182	2629	726
183	2543	726
184	1511	712
185	2433	736
186	2724	759
187	952	135
188	0	93
189	736	435
190	2411	154
191	1146	276
192	2433	736
193	2433	736
194	0	135
195	995	580
196	2721	127
197	1012	127
198	1706	127
199	799	219
200	117	765
201	1718	127
202	1751	127
203	1706	492
204	1966	94
205	1878	580
206	734	580
207	340	764
208	1841	580
209	2732	40
210	2732	40
211	2732	40
212	340	764
213	1748	763
214	2000	154
215	887	87
216	2331	87
217	340	764
218	2440	642
219	2442	642
220	2441	642
221	2432	642
222	2419	642
223	2431	642
224	2724	759
225	299	39
226	1419	125
227	299	733
228	361	733
229	0	39
230	638	759
231	1882	580
232	1741	759
233	2000	154
234	1004	759
235	773	128
236	776	128
237	1845	128
238	1846	128
239	22	18
240	340	50
241	1842	580
242	22	128
243	1851	580
244	966	737
245	1001	580
246	966	737
247	967	737
248	97	737
249	1004	759
250	2455	185
251	175	401
252	436	660
253	2563	766
254	2564	766
255	2586	660
256	2565	766
257	1694	660
258	1649	185
259	1394	767
260	892	735
261	2456	768
262	2564	766
263	175	128
264	583	128
265	2566	766
266	351	436
267	513	564
268	2718	767
269	1461	322
270	618	261
271	1804	261
272	448	770
273	2043	770
274	2281	767
275	2016	770
276	635	770
277	1885	770
278	1400	770
279	2282	767
280	2282	767
281	4	764
282	1391	767
283	2718	767
284	1394	767
285	2605	773
286	1696	774
287	1696	774
288	1303	435
289	1101	435
290	2352	435
291	2004	435
292	1444	435
293	1426	435
294	2579	556
295	467	435
296	936	435
297	306	435
298	309	435
299	736	435
300	628	435
301	618	165
302	2399	435
303	2126	435
304	700	435
305	2094	435
306	2531	556
307	1818	435
308	913	435
309	2094	435
310	773	556
311	1528	556
312	1528	556
313	1528	556
314	1303	435
315	2424	769
316	22	128
317	799	556
318	2487	262
319	44	262
320	799	556
321	2621	262
322	2621	262
323	2629	262
324	24	20
325	778	20
326	2060	262
327	1877	769
328	1888	769
329	599	775
330	621	556
331	2043	775
332	1369	775
333	1877	769
334	616	556
335	805	769
336	1264	436
337	1315	262
338	1949	436
339	2144	776
340	636	262
341	89	262
342	90	262
343	88	262
344	1422	436
345	1239	762
346	814	262
347	811	262
348	619	262
349	2100	645
350	1864	262
351	1876	262
352	2475	776
353	1416	262
354	584	262
355	351	262
356	151	262
357	1400	262
358	426	262
359	2424	769
360	1886	769
361	1566	763
362	2598	769
363	1877	769
364	1888	769
365	2718	767
366	1061	556
367	1886	769
368	1885	769
369	1885	769
370	686	767
371	1887	769
372	1888	769
373	1316	727
374	1877	769
375	2589	769
376	2577	769
377	340	764
378	1886	769
379	1877	769
380	1885	769
381	2424	769
382	2589	769
383	969	767
384	2482	767
385	300	422
386	2482	767
387	1764	580
388	258	776
389	301	777
390	711	777
391	1765	580
392	1800	777
393	927	777
394	935	436
395	935	436
396	319	39
397	0	39
398	2283	767
399	1578	769
400	550	769
401	1291	777
402	1395	767
403	260	777
404	924	777
405	1303	777
406	2482	767
407	1101	777
408	1316	727
409	2004	777
410	1444	777
411	1592	777
412	340	764
413	1387	777
414	1433	777
415	2733	537
416	936	777
417	2408	514
418	306	777
419	309	777
420	539	777
421	438	777
422	618	50
423	340	50
424	2735	537
425	2735	537
426	2052	776
427	340	45
428	340	45
429	1433	777
430	2052	776
431	543	577
432	1578	769
433	340	50
434	1578	580
435	1086	154
436	618	39
437	1086	154
438	228	580
439	228	580
440	340	50
441	1136	580
442	1678	154
443	1210	580
444	541	466
445	2492	154
446	2485	154
447	2487	154
448	2553	589
449	2489	154
450	2487	154
451	1316	727
452	799	219
453	1008	50
454	2661	682
455	319	79
456	2553	589
457	1213	124
458	2487	128
459	1846	125
460	2503	154
461	2487	154
462	320	87
463	2487	135
464	152	87
465	320	87
466	909	154
467	297	87
468	2044	135
469	2709	18
470	2711	18
471	892	781
472	247	94
473	246	94
474	2553	589
475	983	94
476	2618	18
477	2718	18
478	2617	18
479	2421	87
480	2423	87
481	2526	675
482	2463	543
483	2426	154
484	319	50
485	2744	589
486	2605	219
487	1681	154
488	775	219
489	2593	555
490	175	397
491	2718	18
492	773	154
493	340	57
494	1681	154
495	1845	154
496	776	154
497	1419	154
498	239	418
499	618	150
500	1998	154
501	22	779
502	2270	514
503	2426	253
504	707	87
505	1887	135
506	464	776
507	1892	253
508	1333	763
509	2072	94
510	918	253
511	1277	253
512	1061	253
513	1839	87
514	1804	776
515	1886	135
516	2243	776
517	1804	94
518	340	50
519	1368	0
520	1804	675
521	767	87
522	2357	94
523	1974	94
524	2248	783
525	1485	763
526	340	50
527	1254	763
528	1889	135
529	773	127
530	1744	87
531	2730	18
532	2435	776
533	1419	127
534	1419	127
535	2677	18
536	751	127
537	2731	18
538	2243	675
539	1804	746
540	2435	675
541	2052	675
542	2433	675
543	2432	675
544	2361	675
545	2059	776
546	84	135
547	2704	94
548	2358	675
549	1929	675
550	0	50
551	340	50
552	799	219
553	554	397
554	2573	641
555	2011	87
556	230	749
557	230	749
558	580	763
559	1168	749
560	2705	18
561	340	50
562	1849	128
563	84	135
564	725	586
565	2487	135
566	40	50
567	1768	586
568	1767	586
569	1998	127
570	2705	758
571	487	586
572	1999	127
573	2000	127
574	2350	127
575	796	610
576	2489	610
577	800	586
578	2056	375
579	340	39
580	952	127
581	720	586
582	2489	610
583	1998	127
584	930	724
